pdbID,start1,end1,start2,end2,mean.length,linker.length,ChainLength,repeat_cover,secondary.structure,CATH.codes,PfamFamily,PfamCL,Pfam2ratio,CE.Symm,CE.Symm_repeat,couple.count,symmetry,total_symmetry,swapping,cluster,foldseek_cluster
4rcn.A,511,735,752,971,222.5,16,972,0.474279835390946,Alpha Beta,2.40.50.100;3.90.226.10,Carboxyl_trans;Biotin_lipoyl,127,5.11627906976744,C1,C1,0,else,else,0,67,30
3pv2.A,187,281,294,383,92.5,12,384,0.513020833333333,Alpha Beta,2.40.10.120;2.30.42.10,PDZ_2;PDZ_6;PDZ;Trypsin,466,1.32575757575758,C1,C2,0,else,C2,0,41,31
1p1d.A,0,97,98,195,98.0,0,196,1.0,Mainly Beta,2.30.42.10,PDZ;PDZ_6,466,15.8678178029175,C1,C1,6,C2,C2,0,47,31
1se8.A,1,95,112,211,97.5,16,213,0.990610328638498,Mainly Beta,2.40.50.140,SSB,21,0.0,C2,C2,173,C2,C2,0,47,31
4i8o.A,1,90,96,179,87.0,5,344,0.520348837209302,Alpha Beta,3.30.310.240;3.30.160.690,RnlA_toxin_N;RnlA_toxin,0,0.0,C1,C1,0,else,else,0,65,31
6h3j.C,1,107,125,213,98.0,17,397,0.536523929471033,Mainly Beta,-,DUF5103,0,0.0,C1,C1,12,C2,C2,0,95,31
1pbt.A,4,93,100,210,100.5,6,220,0.940909090909091,Alpha Beta,3.40.50.1360,Glucosamine_iso,246,1.19047619047619,C2,C1,419,C2,C2,0,53,32
3i82.A,0,113,114,215,108.0,0,216,1.0,Alpha Beta,3.30.70.1710,BMC,0,0.0,C1,C1,0,else,else,0,75,32
2v6e.A,75,135,136,224,75.0,0,532,0.281954887218045,Mainly Alpha,1.10.287.3180;1.20.1440.270;1.10.443.30,-,0,,C1,C2,425,C2,C2,1,44,33
2bbz.A,0,100,101,179,90.0,0,190,0.947368421052632,Mainly Alpha,1.10.533.10,DED,41,5.29411764705882,C1,C1,0,else,else,0,62,33
1pq2.A,159,249,250,305,73.5,0,463,0.317494600431965,Mainly Alpha,1.10.630.10,p450,0,2.61560018682858,C1,C1,0,else,else,0,88,33
5mlz.A,231,289,295,353,59.0,5,356,0.345505617977528,Mainly Alpha,-,GtrA,0,0.0,C1,C2,97,C2,C2,0,98,33
6m5r.B,0,56,57,119,60.0,0,689,0.174165457184325,Mainly Alpha,-,PRTP,0,0.0,C1,C1,10,C2,C2,0,98,33
3nuf.A,21,67,79,115,42.0,11,118,0.805084745762712,Mainly Alpha,1.10.1790.10,-,0,,C1,D2,115,C2,C2,0,0,34
1q8c.A,1,32,38,89,42.0,5,132,0.674242424242424,Mainly Alpha,1.10.940.10,DUF1948,633,0.0,C1,R,18,C2,C2,0,0,34
2zco.A,149,195,196,242,47.0,0,284,0.330985915492958,Mainly Alpha,1.10.600.10,SQS_PSY,613,0.900900900900901,C1,C1,130,C2,C2,1,29,34
6ltf.A,1,142,164,264,121.5,21,334,0.790419161676647,Alpha Beta,-,Iso_dh,270,0.495049504950495,C2,C2,672,C2,C2,0,42,35
6oxc.B,53,186,187,390,169.0,0,591,0.571912013536379,Alpha Beta,-,MM_CoA_mutase,0,16.0,C1,C1,847,C2,C2,1,48,35
1r5j.A,17,197,198,328,156.0,0,329,0.948328267477204,Alpha Beta,3.40.50.10950;3.40.50.10750,PTA_PTB,270,0.0,C2,C2,636,C2,C2,0,52,35
4zn2.A,78,197,198,328,125.5,0,413,0.60774818401937,Alpha Beta,-,-,0,,C2,R,0,else,else,0,60,35
1ohc.A,1,148,168,325,153.0,19,339,0.958702064896755,Alpha Beta,3.90.190.10,DSPn,31,0.0,C1,C1,0,else,else,0,72,35
3osr.A,6,128,132,278,135.0,3,604,0.451986754966887,Alpha Beta,3.40.190.10,SBP_bac_1;SBP_bac_8,177,0.0,C1,C2,884,C2,C2,1,79,35
4cn8.A,23,216,217,391,184.5,0,393,0.938931297709924,Alpha Beta,3.40.50.410,VWA;VWA_2;VWA_3,128,16.4747356051704,C2,C2,84,C2,C2,1,80,35
3lhl.A,3,140,144,266,130.5,3,276,0.956521739130435,Alpha Beta,3.40.800.10,Arginase,302,0.909090909090909,C1,C1,176,C2,C2,1,97,35
6gre.A,0,106,107,204,102.5,0,205,1.0,Alpha Beta,-,Stress-antifung,0,38.9312977099237,C2,C2,20,C2,C2,0,66,36
1rhy.A,1,82,86,178,87.5,3,180,0.988888888888889,Alpha Beta,3.30.230.40,IGPD,329,0.0,C2,C2,227,C2,C2,0,77,36
1s7o.A,6,53,56,105,49.0,2,106,0.943396226415094,Mainly Alpha,1.10.10.10,UPF0122;Sigma70_r4;Sigma70_r4_2;HTH_11,123,0.0,C1,C1,0,else,else,0,36,37
3vrn.A,0,57,58,115,58.0,0,290,0.4,Mainly Alpha,1.20.930.20,Cbl_N,0,0.0,C1,R,0,else,else,1,43,37
2xl4.A,9,66,67,124,58.0,0,147,0.789115646258503,Mainly Alpha,1.20.120.1420,-,0,,R,C1,0,else,else,0,59,37
2h5n.A,9,67,68,126,59.0,0,132,0.893939393939394,Mainly Alpha,1.10.3680.10,TerB,414,0.0,C1,D2,8,C2,C2,0,63,37
4cad.C,102,160,161,219,59.0,0,251,0.470119521912351,Mainly Alpha,-,Rce1-like,472,0.0,C1,C2,319,C2,C2,1,98,37
1sj2.A,37,398,419,714,329.0,20,717,0.945606694560669,Mainly Alpha,1.10.520.10;1.10.420.10,peroxidase,617,0.672645739910314,C1,C1,22,C2,C2,0,49,38
3p0h.A,31,349,360,658,309.0,10,665,0.944360902255639,Alpha Beta,3.40.50.620;1.10.240.10,tRNA-synt_1b,39,1.57894736842105,C1,C2,81,C2,C2,0,87,38
1sz7.A,0,52,53,75,38.0,0,159,0.477987421383648,Mainly Alpha,3.30.1380.20,TRAPP,210,0.485436893203883,C1,C1,0,else,else,0,27,39
1u0k.A,3,50,51,100,49.0,0,284,0.345070422535211,Alpha Beta,3.10.310.10,PhzC-PhzF,288,3.57142857142857,C2,C1,4,C2,C2,1,8,40
1upa.A,370,447,448,542,86.5,0,558,0.310035842293907,Alpha Beta,3.40.50.970,TPP_enzyme_C,254,0.0,C1,C2,291,C2,C2,0,54,41
2ipx.A,43,115,119,197,76.0,3,220,0.704545454545455,Alpha Beta,3.30.200.20;3.40.50.150,Fibrillarin,63,0.0,C2,C2,208,C2,C2,0,94,41
1vbl.A,153,252,253,360,104.0,0,416,0.5,Mainly Beta,2.160.20.10,Pectate_lyase_4,268,0.873362445414847,R,C1,0,else,else,0,93,42
1bgf.A,35,77,78,120,43.0,0,124,0.693548387096774,Mainly Alpha,1.10.532.10,STAT_int,0,0.0,C1,C1,45,C2,C2,1,0,43
2kjg.A,10,53,54,97,44.0,0,99,0.888888888888889,Mainly Alpha,1.20.120.970,Ca_bind_SSO6904,0,0.0,C2,C2,21,C2,C2,0,0,43
3fcn.A,7,50,51,94,44.0,0,158,0.556962025316456,Mainly Alpha,1.20.1220.20,DUF29,0,0.0,C1,C2,0,else,C2,0,0,43
2yru.A,15,65,66,116,51.0,0,118,0.864406779661017,Mainly Alpha,1.20.940.10,SRA1,0,0.0,C1,C1,73,C2,C2,1,9,43
2i2x.B,36,69,70,117,41.0,0,258,0.317829457364341,Mainly Alpha,1.10.1240.10,B12-binding_2,0,0.0,C1,C1,0,else,else,1,12,43
1a7d.A,8,62,63,117,55.0,0,118,0.932203389830508,Mainly Alpha,1.20.120.50,Hemerythrin,0,5.4140127388535,C1,D2,45,C2,C2,1,14,43
1vcs.A,5,51,52,98,47.0,0,102,0.92156862745098,Mainly Alpha,1.20.58.400,V-SNARE,147,0.0,C2,C1,2,C2,C2,1,14,43
2lm9.A,6,50,51,95,45.0,0,96,0.9375,Mainly Alpha,1.20.58.970,Blo-t-5,0,0.0,C1,C1,26,C2,C2,0,19,43
5edl.A,45,88,89,132,44.0,0,197,0.446700507614213,Mainly Alpha,-,ABC_cobalt,0,0.0,C1,C1,0,else,else,0,27,43
4yic.A,211,266,267,295,42.5,0,344,0.247093023255814,Mainly Alpha,3.40.190.170;3.40.190.10,DctP,177,0.0,C1,C1,0,else,else,0,27,43
2jua.A,1,48,52,100,48.5,3,102,0.980392156862745,Mainly Alpha,1.20.1480.30,-,0,,D2,C1,0,else,else,1,36,43
6g2j.Y,17,74,75,132,58.0,0,140,0.828571428571429,Mainly Alpha,-,Tim17,0,0.0,C1,C1,0,else,else,0,59,43
2ets.A,1,61,63,114,56.5,1,115,0.991304347826087,Mainly Alpha,1.20.120.440,DUF1798,0,0.0,D2,C1,102,C2,C2,1,85,43
5uts.G,83,139,140,208,63.0,0,445,0.28314606741573,Alpha Beta,-,Aminotran_5,61,0.87719298245614,C1,R,190,C2,C2,0,54,44
3kw2.A,2,74,75,168,83.5,0,240,0.695833333333333,Alpha Beta,2.40.240.20;3.40.1280.10,Methyltrans_RNA,98,0.0,C1,C1,0,else,else,0,65,44
1vr0.A,3,68,78,142,65.5,9,236,0.593220338983051,Alpha Beta,3.90.1560.10,2-ph_phosp,0,0.0,C2,C2,603,C2,C2,1,68,44
3oi9.A,1,57,58,141,70.5,0,151,0.933774834437086,Alpha Beta,3.40.980.10,MoCF_biosynth,0,2.46913580246914,C2,C2,283,C2,C2,0,77,44
2jfb.A,2,66,67,150,74.5,0,153,0.973856209150327,Alpha Beta,3.40.50.960,DMRL_synthase,0,0.0,R,R,89,C2,C2,1,80,44
1vz6.A,1,126,139,247,117.5,12,376,0.656914893617021,Alpha Beta,3.60.70.12,ArgJ,635,3.7037037037037,C2,C2,166,C2,C2,0,41,45
1okj.A,1,106,107,199,99.5,0,220,0.904545454545455,Alpha Beta,3.30.420.40,TsaD,108,2.77777777777778,C2,C2,185,C2,C2,0,53,45
4dj3.A,0,140,141,297,149.0,0,298,1.0,Alpha Beta,3.30.450.20,-,0,,C1,C1,0,else,else,0,72,45
2ipi.A,214,307,326,436,102.5,18,492,0.453252032520325,Alpha Beta,3.30.465.10;3.40.462.20,-,0,,C1,C2,237,C2,C2,0,84,45
1wjp.A,0,38,39,64,32.5,0,107,0.607476635514019,Alpha Beta,3.30.160.60,zf_C2H2_6,361,0.0,C1,C1,3,C2,C2,0,10,46
1xb2.B,43,166,167,275,116.5,0,276,0.844202898550725,Alpha Beta,1.10.8.10;3.30.479.20,EF_TS,0,8.0,C2,C2,125,C2,C2,0,41,47
1bwz.A,1,141,146,272,134.0,4,274,0.992700729927007,Alpha Beta,3.10.310.10,DAP_epimerase,288,5.0,C2,C2,619,C2,C2,0,52,48
1xxe.A,1,109,118,262,127.0,8,268,0.977611940298508,Alpha Beta,3.30.230.20;3.30.1700.10,LpxC,329,5.55555555555556,R,R,192,C2,C2,0,52,48
3lma.A,10,158,159,307,149.0,0,309,0.964401294498382,Alpha Beta,3.40.47.40,SpoVAD,46,0.0,C2,C2,83,C2,C2,0,52,48
2b0t.A,156,389,390,553,199.0,0,735,0.541496598639456,Alpha Beta,-,IDH,270,0.469483568075117,C1,C2,666,C2,C2,1,48,49
1ydx.A,1,179,181,368,183.5,1,374,0.983957219251337,Alpha Beta,3.90.220.20;1.10.287.1120,Methylase_S,477,3.50877192982456,C2,C2,400,C2,C2,1,97,49
1yoz.A,0,28,29,72,36.5,0,113,0.646017699115044,Mainly Alpha,1.10.3200.10,AF0941-like,0,0.0,C1,C2,0,else,C2,0,0,50
2rdc.A,7,41,42,76,35.0,0,133,0.526315789473684,Mainly Alpha,1.10.287.800,DUF3232,0,0.0,C1,C1,25,C2,C2,0,28,50
2n5d.A,6,39,40,73,34.0,0,84,0.80952380952381,Mainly Alpha,-,-,0,,C1,C1,51,C2,C2,0,38,50
1z1n.X,24,96,97,217,97.0,0,516,0.375968992248062,Mainly Alpha,3.90.10.10,Cytochrome_C7;Cytochrom_CIII;Paired_CXXCH_1,317,6.59340659340659,C1,C1,0,else,else,0,81,51
3whj.A,12,47,48,83,36.0,0,111,0.648648648648649,Mainly Alpha,6.10.140.1710,Nas2_N,0,0.0,C1,C1,3,C2,C2,0,0,52
1z85.A,80,109,111,140,30.0,1,212,0.287735849056604,Alpha Beta,3.40.1280.10,Methyltrans_RNA,98,0.0,C1,C1,0,else,else,0,3,52
3qwd.A,10,39,40,80,35.5,0,187,0.379679144385027,Alpha Beta,3.90.226.10,CLP_protease,127,0.775193798449612,C1,C1,0,else,else,0,3,52
2pfe.A,89,133,134,170,41.0,0,186,0.440860215053763,Mainly Beta,2.40.10.10,-,0,,C1,R,46,C2,C2,1,4,53
5cdf.E,0,31,32,70,35.5,0,456,0.155701754385965,Mainly Beta,2.40.10.170,ATP-synt_ab_N,275,0.833333333333333,C1,C2,72,C2,C2,1,4,53
2r9v.A,0,40,41,78,39.5,0,487,0.162217659137577,Mainly Beta,2.40.30.20,ATP-synt_ab_N,275,0.833333333333333,C1,C2,122,C2,C2,1,4,53
4gqz.A,85,119,121,154,34.5,1,156,0.448717948717949,Mainly Beta,2.60.40.3700,-,0,,C1,C2,49,C2,C2,0,4,53
4ohs.A,90,124,125,159,35.0,0,221,0.316742081447964,Mainly Beta,2.40.155.10,GFP,69,0.427350427350427,C1,C1,0,else,else,0,11,53
2lhf.A,58,101,102,145,44.0,0,178,0.49438202247191,Mainly Beta,2.40.160.20,-,0,,C1,C1,0,else,else,0,11,53
2pcs.A,50,83,84,117,34.0,0,152,0.447368421052632,Mainly Beta,3.30.530.20,COXG,209,0.0,C1,C1,0,else,else,0,11,53
1ywu.A,12,44,49,86,35.5,4,125,0.6,Mainly Beta,2.40.10.220,-,0,,C1,C2,26,C2,C2,0,13,53
3d33.A,22,57,58,93,36.0,0,94,0.765957446808511,Mainly Beta,2.60.40.3080,DUF3244,159,0.0,C1,C2,130,C2,C2,1,13,53
2l1t.A,0,52,53,105,53.0,0,109,0.972477064220184,Mainly Beta,2.30.110.70,DUF5634_N,0,0.0,C2,C2,226,C2,C2,1,17,53
4ckb.A,77,123,124,162,43.0,0,810,0.106172839506173,Alpha Beta,3.20.100.20,Pox_ATPase-GT,273,0.0,C1,C2,2,C2,C2,0,21,53
1z8k.A,18,78,57,102,53.5,22,174,0.488505747126437,Alpha Beta,2.40.480.10,Allene_ox_cyc,650,0.0,C1,C1,0,else,else,0,39,53
1z94.A,22,87,48,114,66.5,40,140,0.664285714285714,Mainly Beta,3.30.530.20,AHSA1,209,2.45901639344262,C1,C1,0,else,else,0,82,53
1y69.8,3,44,45,86,42.0,0,113,0.743362831858407,Mainly Alpha,1.10.132.20,RRF,0,0.0,C1,C1,124,C2,C2,0,0,54
1zbm.A,182,219,220,257,38.0,0,264,0.287878787878788,Mainly Alpha,3.40.190.10,VitK2_biosynth,177,0.0,C1,C1,32,C2,C2,0,1,54
2hh7.A,0,40,41,81,41.0,0,85,0.964705882352941,Mainly Alpha,1.20.58.1000,Trns_repr_metal,0,0.0,C1,C1,44,C2,C2,0,19,54
1ahj.B,20,63,64,107,44.0,0,212,0.415094339622642,Mainly Alpha,1.10.472.20,NHase_beta,610,0.0,C1,C1,0,else,else,0,27,54
1zhq.A,0,52,59,112,53.5,6,113,1.0,Alpha Beta,3.30.1490.230,MVL,0,28.5714285714286,C2,C2,3,C2,C2,0,2,55
5id8.A,1,67,76,138,65.0,8,142,0.971830985915493,Mainly Beta,-,DUF3421,0,12.2222222222222,C2,C2,180,C2,C2,0,61,55
3fbq.A,34,76,77,123,45.0,0,283,0.318021201413428,Mainly Beta,2.60.40.1630,-,0,,C1,C2,306,C2,C2,1,4,56
6lpi.E,0,39,40,79,40.0,0,89,0.898876404494382,Alpha Beta,-,ACT_5;ACT,70,0.0,C2,C2,109,C2,C2,1,10,56
3v4g.A,68,105,106,143,38.0,0,145,0.524137931034483,Alpha Beta,1.10.10.10;3.30.1360.40,Arg_repressor_C,0,0.0,C1,C2,100,C2,C2,1,10,56
2j5a.A,3,50,57,99,45.5,6,106,0.915094339622642,Alpha Beta,3.30.70.60,Ribosomal_S6,0,0.0,C2,C2,151,C2,C2,1,15,56
2mq8.A,0,49,50,99,50.0,0,112,0.892857142857143,Alpha Beta,3.30.70.600,-,0,,C2,C2,269,C2,C2,1,15,56
1kzl.A,97,141,142,181,42.5,0,202,0.420792079207921,Alpha Beta,2.40.30.20,Lum_binding,76,0.0,C2,C2,117,C2,C2,1,21,56
4g59.C,171,213,214,256,43.0,0,264,0.325757575757576,Alpha Beta,2.60.40.2920;3.30.500.30,-,0,,C1,C2,66,C2,C2,1,21,56
3mml.B,0,35,36,71,36.0,0,210,0.342857142857143,Alpha Beta,3.30.1360.40,CT_C_D,475,0.0,C1,C2,117,C2,C2,1,21,56
2cg4.A,67,102,103,138,36.0,0,150,0.48,Alpha Beta,3.30.70.920,AsnC_trans_reg,32,0.0,C1,C2,98,C2,C2,0,21,56
4pkd.B,2,37,45,78,35.0,7,240,0.320833333333333,Alpha Beta,3.30.70.330,RRM_1,221,10.4972375690608,C1,C2,140,C2,C2,0,21,56
1nh7.A,197,233,234,270,37.0,0,274,0.27007299270073,Alpha Beta,3.40.190.10;3.30.70.120,HisG_C,89,0.0,C1,C2,39,C2,C2,1,21,56
3ptw.A,126,163,164,201,38.0,0,316,0.240506329113924,Alpha Beta,3.40.366.10;3.30.70.250,-,0,,C1,R,73,C2,C2,0,21,56
1j2v.A,0,44,45,89,45.0,0,102,0.882352941176471,Alpha Beta,3.30.70.120,CutA1,89,0.0,C2,C2,45,C2,C2,1,26,56
1ulr.A,1,35,37,74,36.5,1,87,0.850574712643678,Alpha Beta,3.30.70.100,Acylphosphatase,622,0.0,C2,C2,101,C2,C2,1,26,56
2x3d.A,1,42,43,81,40.5,0,90,0.9,Alpha Beta,3.30.70.1340,DUF211,0,0.0,C2,C2,156,C2,C2,1,26,56
3i6p.A,0,38,39,77,39.0,0,90,0.866666666666667,Alpha Beta,3.30.70.1710,BMC,0,0.0,C2,C2,77,C2,C2,1,26,56
1cc7.A,1,35,38,69,33.5,2,72,0.958333333333333,Alpha Beta,3.30.70.100,HMA,704,15.421686746988,C2,C2,113,C2,C2,0,37,56
1x60.A,7,42,43,78,36.0,0,79,0.911392405063291,Alpha Beta,3.30.70.1070,SPOR,0,2.04081632653061,C2,C2,22,C2,C2,1,37,56
1zpv.A,1,40,41,80,40.0,0,85,0.941176470588235,Alpha Beta,3.30.70.260,ACT_6;ACT,70,0.0,C2,C2,70,C2,C2,1,37,56
2ibo.A,0,40,41,81,41.0,0,90,0.911111111111111,Alpha Beta,3.30.70.930,Thiamine_BP,360,0.0,C2,C2,76,C2,C2,1,37,56
2nzc.A,2,40,41,79,39.0,0,80,0.975,Alpha Beta,3.30.70.1150,-,0,,C2,C2,120,C2,C2,1,37,56
3mgj.A,1,39,45,90,42.5,5,97,0.927835051546392,Alpha Beta,3.30.70.2690,Saccharop_dh_N,0,0.0,C2,C2,161,C2,C2,1,37,56
2a90.A,1,70,76,153,74.0,5,160,0.95625,Alpha Beta,3.30.720.50,WWE,0,3.52564102564103,C2,C2,11,C2,C2,0,77,57
1pj5.A,490,578,583,675,91.0,4,827,0.22490931076179,Alpha Beta,3.30.1360.120;3.30.70.1400,GCV_T,289,0.675675675675676,C1,C2,401,C2,C2,1,79,57
2aif.A,18,66,72,113,45.5,5,115,0.834782608695652,Alpha Beta,3.30.1330.30,Ribosomal_L7Ae,101,0.0,C1,C1,7,C2,C2,1,18,58
1o6b.A,16,68,69,116,50.5,0,163,0.619631901840491,Alpha Beta,3.40.50.620,CTP_transf_like;Citrate_ly_lig,39,0.803212851405622,C1,C2,108,C2,C2,0,34,58
1d5y.A,2,53,54,103,51.0,0,288,0.354166666666667,Mainly Alpha,1.10.10.60,HTH_18;HTH_AraC,123,0.0,C1,C1,0,else,else,0,7,59
1wty.A,6,60,61,115,55.0,0,116,0.948275862068966,Mainly Alpha,1.20.120.330,NTase_sub_bind,291,0.0,C2,C1,0,else,else,1,36,59
3kav.A,0,53,55,101,50.5,1,102,1.0,Mainly Alpha,1.20.1270.360,-,0,,C1,C1,0,else,else,1,36,59
1rh1.A,339,413,414,474,68.0,0,490,0.277551020408163,Mainly Alpha,1.10.490.30,Colicin,0,0.0,C1,C2,394,C2,C2,1,44,59
2vxz.A,1,63,67,149,73.0,3,153,0.973856209150327,Mainly Alpha,1.10.10.10;1.10.10.1490,-,0,,C1,C1,0,else,else,0,62,59
2avu.E,0,51,52,124,62.5,0,156,0.801282051282051,Mainly Alpha,-,FlhC,0,0.0,C1,C1,0,else,else,0,69,59
2cr7.A,9,43,44,78,35.0,0,80,0.875,Mainly Alpha,1.20.1160.11,PAH,0,33.7931034482759,C2,C1,76,C2,C2,0,0,60
2cs8.A,2,42,54,95,41.5,11,108,0.87037037037037,Few Secondary Structures,4.10.320.30,zf-C2HC,0,8.16777041942605,C1,C1,0,else,else,0,31,61
3zid.A,1,88,90,196,97.5,1,361,0.542936288088643,Alpha Beta,3.40.50.1440,Tubulin,566,2.72536687631027,C1,C2,412,C2,C2,0,41,62
1l2f.A,203,274,275,343,70.5,0,344,0.409883720930233,Alpha Beta,3.30.300.20,KH_5,7,0.0,C1,C1,5,C2,C2,0,54,62
2dsj.A,98,186,187,273,88.0,0,423,0.416075650118203,Alpha Beta,3.40.1030.10,Glycos_transf_3,0,3.33333333333333,C1,C1,10,C2,C2,0,54,62
3mue.A,93,178,185,249,75.5,6,285,0.550877192982456,Alpha Beta,3.40.50.620;3.30.1300.10,Pantoate_ligase,39,2.63157894736842,C1,C1,0,else,else,0,65,62
4xd9.A,4,110,118,223,106.5,7,236,0.932203389830508,Alpha Beta,-,Brix,458,0.709219858156028,C1,R,167,C2,C2,0,66,62
1vk1.A,7,87,88,194,94.0,0,232,0.810344827586207,Alpha Beta,3.90.1530.10;3.30.1760.10,DUF5603;ParBc,248,0.0,C1,C1,0,else,else,0,73,62
1ixc.A,83,162,180,267,84.0,17,289,0.640138408304498,Alpha Beta,1.10.10.10;3.40.190.10,LysR_substrate,177,0.0,C2,C2,181,C2,C2,0,94,62
1ixk.A,100,172,173,261,81.0,0,305,0.531147540983607,Alpha Beta,3.30.70.1170;3.40.50.150,Methyltr_RsmB-F;Methyltransf_31;FtsJ,63,0.423728813559322,C1,C2,177,C2,C2,0,94,62
2e5s.A,14,45,50,79,31.0,4,98,0.673469387755102,Alpha Beta,3.30.1370.210,zf-CCCH_2;zf-CCCH;zf-CCCH_4,537,22.680412371134,C2,C2,4,C2,C2,0,10,63
1izn.A,141,178,179,216,38.0,0,275,0.276363636363636,Mainly Beta,3.90.1150.210,F-actin_cap_A,0,2.7027027027027,C1,C1,0,else,else,1,11,64
2jo6.A,12,48,49,78,33.5,0,110,0.609090909090909,Mainly Beta,2.102.10.10,Rieske_2,516,0.0,C1,R,14,C2,C2,0,13,64
5b18.A,1,33,37,86,41.5,3,99,0.868686868686869,Mainly Beta,2.40.70.10,RVP,129,0.0,C2,C2,21,C2,C2,0,13,64
2m3x.A,69,107,108,146,39.0,0,147,0.530612244897959,Mainly Beta,3.10.330.10;2.40.10.360,-,0,,C1,C2,3,C2,C2,0,13,64
2p3p.A,34,64,65,103,35.0,0,197,0.355329949238579,Mainly Alpha,-,DUF3256,0,0.0,C1,C1,0,else,else,0,27,64
2f09.A,1,39,42,77,37.5,2,82,0.939024390243902,Mainly Beta,2.40.128.200,MliC,0,3.44827586206897,C2,C2,132,C2,C2,1,32,64
3zw0.A,0,42,43,85,43.0,0,87,0.988505747126437,Mainly Beta,2.40.128.190,Fungal_lectin,434,0.0,C1,C1,4,C2,C2,0,32,64
2fau.A,0,146,147,285,143.0,0,288,0.993055555555556,Mainly Beta,2.60.40.640,Vps26,135,3.2258064516129,R,R,0,else,else,0,40,65
1gji.A,1,169,179,273,132.0,9,275,0.992727272727273,Mainly Beta,2.60.40.340;2.60.40.10,RHD_DNA_bind;RHD_dimer,73,0.0,C1,C1,0,else,else,0,40,65
2y7l.A,5,154,164,296,141.5,9,312,0.935897435897436,Mainly Beta,2.60.40.1280;2.60.40.2430,Candida_ALS_N,159,1.92307692307692,C1,C1,0,else,else,0,40,65
5nan.B,0,164,165,270,135.5,0,271,1.0,Mainly Beta,2.60.40.2160;2.60.40.2150,IL17R_fnIII_D1;IL17R_fnIII_D2,159,0.0,C1,C1,0,else,else,0,40,65
5hp5.A,8,121,131,298,141.0,9,669,0.434977578475336,Mainly Beta,2.60.40.1860;2.60.40.1700;3.75.10.10,PAD_M;PAD_N,73,4.76190476190476,C1,C1,0,else,else,0,40,65
1sef.A,11,122,131,242,112.0,8,250,0.928,Mainly Beta,2.60.120.10,Cupin_2;Cupin_3,29,0.0,C2,C2,972,C2,C2,0,47,65
6wb9.1,211,311,312,439,114.5,0,649,0.352850539291217,Alpha Beta,-,-,0,,C1,C1,0,else,else,0,51,65
2zoe.B,166,293,295,417,125.5,1,420,0.6,Alpha Beta,2.170.15.20;2.60.120.1080,Clenterotox,202,0.0,C1,C1,0,else,else,0,60,65
6jk8.A,438,560,561,718,140.5,0,823,0.341433778857837,Alpha Beta,-,-,0,,C1,C1,0,else,else,0,72,65
4kq7.A,16,125,165,351,148.5,39,373,0.900804289544236,Mainly Beta,2.60.120.1390,DUF2961,55,0.0,C1,C1,0,else,else,0,76,65
2o4v.A,102,268,269,372,135.5,0,411,0.659367396593674,Mainly Beta,2.40.160.10,Porin_O_P,193,0.0,C1,C1,0,else,else,0,82,65
4h3w.A,46,174,175,287,121.0,0,313,0.773162939297125,Mainly Beta,2.60.290.20;2.60.120.1260,DUF4621,55,0.0,C1,C1,0,else,else,0,82,65
3t0e.E,0,132,133,319,160.0,0,365,0.876712328767123,Mainly Beta,2.60.40.10,CD4-extracel;C2-set;ig;V-set;I-set;Receptor_2B4,11,0.0,C1,C1,0,else,else,1,82,65
2zwn.A,1,123,134,274,132.0,10,317,0.864353312302839,Mainly Beta,2.60.40.420,Cu-oxidase_3;Cu-oxidase_2;Cu-oxidase,26,5.4368932038835,C1,C1,29,C2,C2,0,83,65
6qdi.A,1,135,152,289,136.5,16,294,0.982993197278912,Mainly Beta,-,PA14;GLEYA,301,10.9018830525273,R,R,3,C2,C2,0,86,65
2o62.A,4,126,135,268,128.5,8,269,0.985130111524164,Mainly Beta,2.40.128.20,DUF3598,116,0.0,C2,C2,706,C2,C2,0,86,65
3l8q.A,0,167,168,337,169.0,0,338,1.0,Mainly Beta,2.60.40.680,Cohesin,203,7.97636632200886,C2,C2,195,C2,C2,0,86,65
1suj.A,1,166,173,347,170.5,6,363,0.955922865013774,Mainly Beta,2.60.40.840;2.60.40.640,Arrestin_N;Arrestin_C,135,4.76190476190476,C1,C1,57,C2,C2,0,86,65
2z1p.A,0,129,130,281,141.0,0,282,1.0,Mainly Beta,2.60.40.1280;2.60.40.740,Collagen_bind;Big_8,204,43.1372549019608,C1,C1,40,C2,C2,0,86,65
3gf8.A,1,135,136,263,131.5,0,284,0.926056338028169,Mainly Beta,2.60.40.2100;2.60.40.2090,Mfa2,450,0.0,C1,C1,6,C2,C2,0,86,65
2fge.A,16,464,532,955,436.5,67,979,0.960163432073544,Alpha Beta,3.30.830.10,M16C_assoc;Peptidase_M16_C;Peptidase_M16,94,0.0,D2,C1,9,C2,C2,0,87,66
4k0e.A,1,467,479,969,479.0,11,977,0.991811668372569,Alpha Beta,-,ACR_tran,322,8.33333333333333,C2,C2,1233,C2,C2,1,97,66
2ziz.A,27,221,235,365,163.0,13,485,0.698969072164948,Alpha Beta,3.40.50.1480;3.40.50.720,AdoHcyase;AdoHcyase_NAD;2-Hacid_dh_C;IlvN,325,8.75,C1,C1,8,C2,C2,0,42,67
3d64.A,38,226,239,395,173.0,12,462,0.774891774891775,Alpha Beta,3.40.50.1480;3.40.50.720,AdoHcyase;AdoHcyase_NAD;2-Hacid_dh_C;IlvN,63,8.75,C1,C1,177,C2,C2,0,42,67
